Publishing Date,Headlines,Category
5/3/2007,"['KSE managing director resigns', 'KSE sets new record on strong fundamentals']",Market
5/4/2007,"['KSE to buy data warehouse', 'KSE index consolidates above 12,400 level']",Market
5/5/2007,"['KSE scales new peak above 12,500 level']",Market
5/6/2007,['KSE sets record as foreign funds grab 30pc of free float'],Market
5/8/2007,['KSE goes into a tailspin'],Market
5/10/2007,['KSE extends recovery gains 61 points'],Market
5/12/2007,"['KSE consolidates above 12,350 points level']",Market
5/13/2007,['KSE records modest fall on technical correction'],Market
5/15/2007,"['Institutions, foreign funds cushion KSE fall']",Market
5/17/2007,"['Shaukat Tarin elected KSE chairman', 'Institutional support fails to stop KSE plunge']",Market
5/20/2007,['Institutional buying cushions KSE fall'],Market
5/22/2007,"['KSE index falls below 12,300 level on technical selling']",Market
5/23/2007,"['KSE up on foreign, institutional support']",Market
5/25/2007,['Emboldened investors push KSE to new heights'],Market
5/27/2007,"['KSE at all-time high, profit-taking expected']",Market
5/29/2007,['KSE further up on buying in cement stocks'],Market
5/30/2007,['Technical correction hits KSE'],Market
5/31/2007,"['Profit-taking erases early gains on KSE', 'KSE likely to be re-rated']",Market
6/1/2007,"['Buying spree continues, KSE near 13,000 mark']",Market
6/2/2007,"['KSE closes 27 points lower after crossing 13,000 mark']",Market
6/6/2007,"['KSE gains 209 points to breeze past 13,000 barrier']",Market
6/7/2007,"['KSE-100 consolidates above 13,000 level with 45 points gain']",Market
6/8/2007,"['KSE-100 hovers above 13,000-level, gains 25.58 points']",Market
6/12/2007,['KSE-100 closes with marginal losses'],Market
6/13/2007,['KSE-100 sets historical record'],Market
6/14/2007,"['KSE breaks fresh ground, moves beyond 13,400 level']",Market
6/15/2007,['Profit-taking trims early gains at KSE'],Market
6/19/2007,"['KSE crosses 13,500 level on buying in oil, gas sector']",Market
6/21/2007,['KSE up on buying in banking scrips'],Market
6/22/2007,['Volatile KSE closes with marginal losses'],Market
6/23/2007,['PSO sell off delay fuels bearish drive at KSE'],Market
6/26/2007,"['Cement, banking, oil scrips push KSE up by 147 points', 'Range bound activity witnessed at KSE']",Market
6/27/2007,['Range bound activity witnessed at KSE'],Market
6/28/2007,"['Foreign, institutional buying pushes KSE to new highs']",Market
6/29/2007,['Karachi stocks extend gains'],Market
6/30/2007,['Karachi stocks conclude FY07 on bullish note'],Market
7/2/2007,['KSE-100 index continues upward journey'],Market
7/3/2007,['KSE-100 index continues upward journey'],Market
7/6/2007,"['KSE-100 closes near 14,000 points']",Market
7/7/2007,"['KSE-100 index hovers near 14,000 points']",Market
7/10/2007,"['KSE-100 breaches 14,000-point psychological barrier']",Market
7/11/2007,['KSE-100 index plunges 102 points'],Market
7/13/2007,['KSE-100 share index at record high'],Market
7/14/2007,['KSE-100 at record high for second consecutive day'],Market
7/17/2007,['KSE 100-share index plunges 257 points'],Market
7/18/2007,"['Europe, ME companies eye stake in KSE', 'Stock market stages recovery, KSE-100 up 109 points']",Market
7/20/2007,['KSE records biggest fall of year'],Market
7/21/2007,['KSE recovers 158 points'],Market
7/24/2007,['KSE rebounds 308 points on healthy volume'],Market
7/25/2007,['KSE dips as investors book profit on available margins'],Market
7/26/2007,['Range-bound KSE closes with moderate gains'],Market
7/27/2007,['Rumour-based selling pares KSE gains'],Market
7/28/2007,['Range-bound KSE suffers marginal losses'],Market
7/31/2007,['Lacklustre KSE closes with marginal gains'],Market
8/1/2007,['KSE up 104 points on results-based rally'],Market
8/2/2007,['KSE reacts negatively to monetary policy'],Market
8/3/2007,['KSE rebounds on short-covering'],Market
8/4/2007,['Range-bound KSE ends with marginal losses'],Market
8/5/2007,"['KSE demutualisation by year-end', 'KSE 100-share index gains 133 points']",Market
8/7/2007,['KSE-100 dips 252.57 points on selling pressure'],Market
8/8/2007,['KSE capitalisation falls Rs96bn in two days'],Market
8/9/2007,['KSE recovers 130 points on institutional buying'],Market
8/10/2007,['KSE sets record fall of 358 points in a day'],Market
8/14/2007,['KSE down 264 points as foreign funds offload on political uncertainty'],Market
8/16/2007,['KSE records gains on short-covering in blue chips'],Market
8/17/2007,"['KSE follows global markets, dips 78 points']",Market
8/18/2007,['Range-bound KSE ends flat'],Market
8/21/2007,['Profit-taking pares earlier gains on KSE'],Market
8/23/2007,['KSE-100 recovers 75.93 points'],Market
8/25/2007,['KSE gets new MD'],Market
8/28/2007,"['KSE falls 98 points on selling in oil scrips', 'Borse Dubai eyes KSE']",Market
8/29/2007,['Two more names for KSE MD -sent to SECP'],Market
8/31/2007,"['SECP yet to appoint MD KSE', 'Bullish trend prevails, KSE gains 137 points', 'KSE to launch index futures']",Market
9/1/2007,['KSE falls 152 points as investors book profit'],Market
9/4/2007,['Buying at dips helps pare losses on KSE'],Market
9/6/2007,['KSE jumps 271 points on deal euphoria'],Market
9/7/2007,['KSE falls 96 points on profit-taking'],Market
9/8/2007,['Nawaz expected arrival triggers offloading on KSE'],Market
9/12/2007,['KSE closes with moderate gains after a volatile session'],Market
9/15/2007,['Profit-taking pushes KSE-100 index down 84 points'],Market
9/16/2007,['KSE gains 3pc on rally in E&P sector'],Market
